rid,tag,band,level,amount,ruler,filler
1,R01,ALPHA,10,100.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R01 ........................................ END-R01
2,R02,BRAVO,23,150.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R02 ........................................ END-R02
3,R03,CHARLIE,37,200.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R03 ........................................ END-R03
4,R04,DELTA,50,250.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R04 ........................................ END-R04
5,R05,ALPHA,63,300.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R05 ........................................ END-R05
6,R06,BRAVO,77,350.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R06 ........................................ END-R06
7,R07,CHARLIE,90,400.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R07 ........................................ END-R07
8,R08,DELTA,77,450.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R08 ........................................ END-R08
9,R09,ALPHA,63,500.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R09 ........................................ END-R09
10,R10,BRAVO,50,450.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R10 ........................................ END-R10
11,R11,CHARLIE,37,400.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R11 ........................................ END-R11
12,R12,DELTA,23,350.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R12 ........................................ END-R12
13,R13,ALPHA,10,300.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R13 ........................................ END-R13
14,R14,BRAVO,23,250.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R14 ........................................ END-R14
15,R15,CHARLIE,37,200.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R15 ........................................ END-R15
16,R16,DELTA,50,150.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R16 ........................................ END-R16
17,R17,ALPHA,63,100.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R17 ........................................ END-R17
18,R18,BRAVO,77,150.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R18 ........................................ END-R18
19,R19,CHARLIE,90,200.0,0....5...10...15...20...25...30...35...40...45...50...55...60,FILLER-R19 ........................................ END-R19
