CODE	MODULE
=======	=====================================================================
aud	OSDriver - Linux OSS /dev/dsp audio (plays WAV files on ExecMethod)
bar	BarCode generator module (for prt mgmt)
dat	OSDriver - Flat data file (CSV/etc)
ev	MTASK internal - event handling
eml	OSDriver - E-mail
exp	Expression compiler/parser/evaluator
fd	MTASK Module file I/O
fxp	PrtDriver - Epson-FX (text/x-epson-fx) output
gzip	OSDriver - gzip compressed file (RFC 1952)
htcb    HTDriver - Checkbox
htcbx   HTDriver - Combo Box
htconn	HTDriver - event-action connector
htdd	HTDriver - drop down list
htdt	HTDriver - date/time
hteb	HTDriver - edit box
htex	HTDriver - exec method
htform	HTDriver - form
htfs    HTDriver - form status
hthtml	HTDriver - HTML document pane
htibtn	HTDriver - image button
htmenu	HTDriver - menu
htp	PrtDriver - text/html output
htpage	HTDriver - Page
htpn	HTDriver - pane
htr	HTML Render/Generation system
htrb    HTDriver - RadioButton
hts	HTML Parsing module
htset	HTDriver - Frameset
htspane	HTDriver - ScrollPane
httab	HTDriver - tab control
httbl	HTDriver - tabular data presentation
httbtn	HTDriver - Text button
httm	HTDriver - Timer
http	OSDriver - HTTP source protocol driver
httree	HTDriver - TreeView
httx    HTDriver - Text Area
htvbl	HTDriver - global javascript variable
htwin	HTDriver - draggable popup window
idx	OSDriver - indexed data file (B+ tree)
mlx	Lexical analyzer (string/stream tokenizer)
mq	MultiQuery module (SQL parser + exec)
mss	Session manager
mt	MTASK Module general functionality
net	MTASK Module TCP/IP networking
nht	NetDriver - HTTP
nm	NewMalloc utility module
obj	OSML Routines and OSML API
oxt	Pseudo-OSDriver - OSML Transaction Tree Driver
pcl	PrtDriver - HP PCL output (text/x-hp-pcl)
pgdb	OSDriver - PostgreSQL
prt	Printing management (for RPTs, etc)
qyt	OSDriver - QueryTree
root	Pseudo-OSDriver - Rootnode driver
rpt	OSDriver - report generator
sn	StructureFile Node management
st	StructureFile parser/generator/management
stx	OSDriver - plain structure file
sy	MTASK Module synchronization (semaphores)
sybd	OSDriver - Sybase
th	MTASK Module threading
txt	PrtDriver - text/plain output
uxd	OSDriver - UNIX filesystem
uxp	OSDriver - UNIX printer (lpr/spr)
uxu	OSDriver - UNIX user (/etc/passwd)
xa	XArray extensible array module
xh	XHashTable hash table module
xhq	XHashQueue hash/queue (cache manager) module
xq	XQueue queue manager module (macros only)
xs	XString extensible string module
