_APOS_L Application
_BN Binary
_CT ContentType
_CXG CxGlobals_t
_CXM CxModule
_CXSI SysInfoData
_DC DirectoryCache
_ET Expression
_HT HtTree
_HTN HtNamespace
_HTS HtmlSession
_IV IntVec
_JC JSCode
_JD JSData
_JF JSVMDataFunctions
_JL JSVMScriptLanguage
_JS JSVMSymbol
_JT JSVMSymbolTable
_LK ObjLock
_LKH ObjLockHolder
_MM MimeHeader
_MN MoneyType
_NCM NhtControlMsg
_OA ObjectInfo
_OBFCAT ObfWordCat
_OBFRULE ObfRule
_OBFWORD ObfWord
_OE ObjEvent
_OEH ObjEventHandler
_OF ObjectInstance
_OQ ObjQuery
_ORNI ObjReqNotifyItem
_OSD ObjDriver
_OSS ObjSession
_OT ObjTrxTree
_OVA ObjVirtualAttr
_PBD PrtBorder
_PC PrtCommand
_PD PrtOutputDriver
_PDR PrintDriver
_PE PrtEvent
_PFM PrtFormatter
_PFN PrtFontDesc
_PG PrtGlobals
_PH ObjPresentationHints
_PHD PrtHandle
_PI StructInf
_PIH PrtImageHdr
_PIM PrtImage
_PLD PrtLayoutDriver
_PO ParamObjects
_POS PrtObjStream
_POS PrtObjStream
_POT PrtObjType
_PRE PrtResolution
_PS PrtSession
_PS PrtSession
_PTS PrtTextStyle
_PU PrtUnits
_QAD QueryAppData
_QDC QueryDeclaredCollection
_QDO QueryDeclaredObject
_QE QueryElement
_QS QueryStructure
_QST PseudoObject
_SI StructInf
_SO Struct
_SRT ObjQuerySort
_SV StringVec
_TO ObjTemp
_TPOD TObjData
_WN WgtrNode
IfcHandle_t IfcDefinition
